Title,Project Type,Status,Solution Architect,Team Members,Project Lead,Stakeholders,Wiki Link,Useful links ,Modified
Accounts Receivable Automation PoC,Product Innovation,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Medusa,Product Innovation,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
VIK Tool,Product Innovation,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
AI Powered Analytics - Unified Checkout,Product Innovation,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
AI Assisted SA to UC Migration,Product Innovation,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
MCP Scanner,Product Innovation,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Doc as a service,Product Innovation,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Realtime Transactions Dashboard,Product Innovation,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
NLP Acceptance Analytics,Product Innovation,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
GoldenPath for Agentic Development,Productivity,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Developer Buddy/Assist,Productivity,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
VAS Innovation Shared Infrastructure,Productivity,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Customizable Executive Dashboard / IAAS,Productivity,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Hackathon Portal,Productivity,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
ReverseJs-Python To Java Migration,Security,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Visa University Recommendation Engine,Visa University,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Visa University Skill Agent,Visa University,In Progress,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
